id,item_id,area_id,quantity,created_at
1,1,10,7.0,"2026-03-04 17:51:50"
2,2,10,3.0,"2026-03-04 17:51:50"
3,3,10,10.0,"2026-03-04 17:51:50"
4,4,10,1.0,"2026-03-04 17:51:50"
5,5,10,17.0,"2026-03-04 17:51:50"
6,6,10,4.0,"2026-03-04 17:51:50"
7,7,10,10.0,"2026-03-04 17:51:50"
8,8,10,1.0,"2026-03-04 17:51:50"
9,9,10,22.0,"2026-03-04 17:51:50"
10,10,10,6.0,"2026-03-04 17:51:50"
11,11,10,4.0,"2026-03-04 17:51:50"
12,12,10,9.0,"2026-03-04 17:51:50"
13,13,10,2.0,"2026-03-04 17:51:50"
14,14,10,0.5,"2026-03-04 17:51:50"
15,15,10,4.0,"2026-03-04 17:51:50"
16,16,10,5.0,"2026-03-04 17:51:50"
17,17,10,4.0,"2026-03-04 17:51:50"
18,18,10,4.0,"2026-03-04 17:51:50"
19,19,10,4.0,"2026-03-04 17:51:50"
20,20,10,8.0,"2026-03-04 17:51:50"
23,23,10,3.0,"2026-03-04 17:51:50"
24,24,10,11.2,"2026-03-04 17:51:50"
25,25,10,1.8,"2026-03-04 17:51:50"
26,27,10,616.1,"2026-03-04 17:51:50"
27,28,10,34.0,"2026-03-04 17:51:50"
29,30,10,7.0,"2026-03-04 17:51:50"
30,31,10,5.0,"2026-03-04 17:51:50"
31,32,10,3.0,"2026-03-04 17:51:50"
32,33,10,5.0,"2026-03-04 17:51:50"
33,34,10,13.0,"2026-03-04 17:51:50"
34,35,10,3.0,"2026-03-04 17:51:50"
35,36,10,2.0,"2026-03-04 17:51:50"
36,37,10,8.0,"2026-03-04 17:51:50"
37,38,10,28.2,"2026-03-04 17:51:50"
38,39,10,17.0,"2026-03-04 17:51:50"
39,40,10,15.0,"2026-03-04 17:51:50"
40,41,10,8.0,"2026-03-04 17:51:50"
41,42,10,796.0,"2026-03-04 17:51:50"
42,44,10,4.0,"2026-03-04 17:51:50"
43,45,10,2.0,"2026-03-04 17:51:50"
45,47,10,1.0,"2026-03-04 17:51:50"
46,48,10,3.0,"2026-03-04 17:51:50"
47,50,10,31.0,"2026-03-04 17:51:50"
48,51,10,12.0,"2026-03-04 17:51:50"
50,53,10,1.0,"2026-03-04 17:51:50"
52,56,10,3.0,"2026-03-04 17:51:50"
53,57,10,2.0,"2026-03-04 17:51:50"
54,58,10,60.0,"2026-03-04 17:51:50"
57,62,10,3.0,"2026-03-04 17:51:50"
58,63,10,4.0,"2026-03-04 17:51:50"
59,64,10,2.0,"2026-03-04 17:51:50"
60,65,10,18.0,"2026-03-04 17:51:50"
61,66,10,16.0,"2026-03-04 17:51:50"
62,67,10,7.0,"2026-03-04 17:51:50"
63,68,10,24.0,"2026-03-04 17:51:50"
64,69,10,25.0,"2026-03-04 17:51:50"
65,70,10,1.0,"2026-03-04 17:51:50"
66,71,10,6.0,"2026-03-04 17:51:50"
67,72,10,10.0,"2026-03-04 17:51:50"
69,74,10,1.0,"2026-03-04 17:51:50"
70,75,10,4.0,"2026-03-04 17:51:50"
71,76,10,2.0,"2026-03-04 17:51:50"
72,77,10,2.0,"2026-03-04 17:51:50"
73,78,10,6.0,"2026-03-04 17:51:50"
74,79,10,13.0,"2026-03-04 17:51:50"
75,80,10,2.5,"2026-03-04 17:51:50"
76,81,10,6.0,"2026-03-04 17:51:50"
77,82,10,21.0,"2026-03-04 17:51:50"
78,83,10,20.0,"2026-03-04 17:51:50"
79,85,10,10.0,"2026-03-04 17:51:50"
81,87,10,3.0,"2026-03-04 17:51:50"
82,88,10,1.0,"2026-03-04 17:51:50"
83,89,10,2.0,"2026-03-04 17:51:50"
84,90,10,2.0,"2026-03-04 17:51:50"
85,91,10,29.0,"2026-03-04 17:51:50"
86,92,10,2.0,"2026-03-04 17:51:50"
87,93,10,8.0,"2026-03-04 17:51:50"
88,94,10,1.0,"2026-03-04 17:51:50"
89,95,10,8.0,"2026-03-04 17:51:50"
90,96,10,3.5,"2026-03-04 17:51:50"
91,97,10,14.0,"2026-03-04 17:51:50"
92,98,10,5.0,"2026-03-04 17:51:50"
93,99,10,13.6,"2026-03-04 17:51:50"
94,100,10,16.0,"2026-03-04 17:51:50"
95,101,10,1.0,"2026-03-04 17:51:50"
96,102,10,1.0,"2026-03-04 17:51:50"
97,103,10,1.0,"2026-03-04 17:51:50"
99,105,10,2.0,"2026-03-04 17:51:50"
100,106,10,1.0,"2026-03-04 17:51:50"
101,108,10,3.0,"2026-03-04 17:51:50"
102,110,10,5.0,"2026-03-04 17:51:50"
103,111,10,2.0,"2026-03-04 17:51:50"
104,112,10,1.0,"2026-03-04 17:51:50"
105,113,10,4.0,"2026-03-04 17:51:50"
106,114,10,10.0,"2026-03-04 17:51:50"
107,115,10,29.0,"2026-03-04 17:51:50"
108,116,10,108.0,"2026-03-04 17:51:50"
110,120,10,1.0,"2026-03-04 17:51:50"
111,121,10,2.0,"2026-03-04 17:51:50"
112,122,10,4.0,"2026-03-04 17:51:50"
113,123,10,40.0,"2026-03-04 17:51:50"
114,124,10,20.0,"2026-03-04 17:51:50"
115,125,10,16.0,"2026-03-04 17:51:50"
116,126,10,4.0,"2026-03-04 17:51:50"
117,127,10,1.0,"2026-03-04 17:51:50"
118,128,10,18.0,"2026-03-04 17:51:50"
119,129,10,4.0,"2026-03-04 17:51:50"
120,130,10,2.0,"2026-03-04 17:51:50"
121,131,10,4.0,"2026-03-04 17:51:50"
122,132,10,7.0,"2026-03-04 17:51:50"
123,133,10,2.0,"2026-03-04 17:51:50"
124,134,10,2830.0,"2026-03-04 17:51:50"
138,148,10,1.0,"2026-03-04 17:51:50"
139,149,10,8.0,"2026-03-04 17:51:50"
142,152,10,3.0,"2026-03-04 17:51:50"
143,154,10,75.0,"2026-03-04 17:51:50"
144,155,10,1.0,"2026-03-04 17:51:50"
145,157,10,6.0,"2026-03-04 17:51:50"
146,158,10,2.0,"2026-03-04 17:51:50"
147,159,10,25.0,"2026-03-04 17:51:50"
148,160,10,2.0,"2026-03-04 17:51:50"
149,161,10,13.0,"2026-03-04 17:51:50"
151,163,10,13.0,"2026-03-04 17:51:50"
152,164,10,1.0,"2026-03-04 17:51:50"
153,165,10,2.0,"2026-03-04 17:51:50"
154,166,10,29.53,"2026-03-04 17:51:50"
155,167,10,5.0,"2026-03-04 17:51:50"
156,168,10,1.0,"2026-03-04 17:51:50"
157,169,10,3.0,"2026-03-04 17:51:50"
158,170,10,1.0,"2026-03-04 17:51:50"
159,171,10,28.3,"2026-03-04 17:51:50"
160,172,10,2.0,"2026-03-04 17:51:50"
161,173,10,1.0,"2026-03-04 17:51:50"
162,174,10,4.0,"2026-03-04 17:51:50"
163,175,10,57.0,"2026-03-04 17:51:50"
164,176,10,1.0,"2026-03-04 17:51:50"
166,178,10,3.0,"2026-03-04 17:51:50"
167,179,10,8.0,"2026-03-04 17:51:50"
168,180,10,2.0,"2026-03-04 17:51:50"
170,182,10,2.5,"2026-03-04 17:51:50"
171,184,10,12.0,"2026-03-04 17:51:50"
172,185,10,3.0,"2026-03-04 17:51:50"
173,186,10,2.0,"2026-03-04 17:51:50"
174,188,10,2.9,"2026-03-04 17:51:50"
177,191,10,22.0,"2026-03-04 17:51:50"
178,193,10,1678.5,"2026-03-04 17:51:50"
179,194,10,2.0,"2026-03-04 17:51:50"
180,195,10,28.0,"2026-03-04 17:51:50"
181,196,10,3.0,"2026-03-04 17:51:50"
182,197,10,7.0,"2026-03-04 17:51:50"
183,198,10,1.0,"2026-03-04 17:51:50"
184,199,10,2.0,"2026-03-04 17:51:50"
185,200,10,3.0,"2026-03-04 17:51:50"
186,201,10,4.0,"2026-03-04 17:51:50"
187,202,10,1.0,"2026-03-04 17:51:50"
188,203,10,2.0,"2026-03-04 17:51:50"
190,205,10,3.0,"2026-03-04 17:51:50"
191,206,10,2.0,"2026-03-04 17:51:50"
192,207,10,2.0,"2026-03-04 17:51:50"
193,208,10,6.0,"2026-03-04 17:51:50"
